title,price,mrp,discount
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
"Realme P1 Speed 5G 128 GB, 8 GB RAM, Brushed Blue, Mobile Phone","₹14,499.00","₹20,999.00",31% OFF
"Redmi 14C 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹9,499.00","₹12,999.00",27% OFF
"Motorola Razr 50 Ultra 5G 12 GB RAM, 512 GB, Midnight Blue, Mobile Phone with Moto Buds+ Earphone","₹59,999.00","₹1,19,999.00",50% OFF
"Redmi A4 5G 64 GB, 4 GB RAM, Purple, Mobile Phone","₹8,999.00","₹10,999.00",18% OFF
"OnePlus Nord CE4 Lite 5G 128 GB, 8 GB RAM, Super Silver, Mobile Phone","₹17,999.00","₹20,999.00",14% OFF
"Apple iPhone 13 128 GB, Midnight (Black)","₹43,990.00","₹49,900.00",12% OFF
"Oppo F29 5G 256 GB, 8 GB RAM, Solid Purple, Mobile Phone","₹25,999.00","₹30,999.00",16% OFF
"Apple iPhone 16 128 GB, Teal","₹70,490.00","₹79,900.00",12% OFF
"Google Pixel 8a 128 GB, 8 GB RAM, Porcelain, Mobile Phone","₹37,999.00","₹52,999.00",28% OFF
"Redmi 13 5G 8 GB RAM, 128 GB, Black, Mobile Phone","₹13,999.00","₹19,999.00",30% OFF
"Samsung Galaxy F06 5G 128 GB, 4 GB RAM, Bahama Blue, Mobile Phone","₹9,299.00","₹13,999.00",34% OFF
